,TimeStamp,Force(N),RPM,Volts,Amps
0,800.0007,0.0,382.5,0.0171152,6.5249999999999995
1,800.003,0.0,382.5,0.0171152,6.1499999999999995
2,800.0088,0.0,398.5,0.0171152,6.1499999999999995
3,800.0191,0.0,398.5,0.0171152,5.9399999999999995
4,800.0191,0.0,398.5,0.0171152,6.194999999999999
5,800.035,0.0,398.5,0.0171152,6.075
6,800.0499,0.0,385.5,0.0171152,6.075
7,800.0511,0.0,385.5,0.0171152,6.015
8,800.0512,0.0,385.5,0.0171152,5.925
9,800.067,0.0,385.5,0.0171152,6.09
10,800.0671,0.0,385.5,0.0171152,6.06
11,800.0831,0.0,385.5,0.0171152,6.225
12,800.0867,0.0,398.5,0.0171152,6.225
13,800.0991,0.0,398.5,0.0171152,6.06
14,800.0991,0.0,398.5,0.0171152,6.1499999999999995
15,800.115,0.0,398.5,0.0171152,6.075
16,800.1276,0.0,383.5,0.0171152,6.075
17,800.131,0.0,383.5,0.0171152,6.09
18,800.147,0.0,383.5,0.0171152,6.194999999999999
19,800.1471,0.0,383.5,0.0171152,6.3
20,800.163,0.0,383.5,0.0171152,6.0
21,800.1644,0.0,395.5,0.0171152,6.0
22,800.179,0.0,395.5,0.0171152,6.495
23,800.1791,0.0,395.5,0.0171152,6.435
24,800.195,0.0,395.5,0.0171152,6.675
25,800.1951,0.0,395.5,0.0171152,6.495
26,800.2055,0.0,381.0,0.0171152,6.495
27,800.227,0.0,381.0,0.0171152,6.3
28,800.2271,0.0,381.0,0.0171152,6.39
29,800.2423,0.0,396.5,0.0171152,6.39
30,800.243,0.0,396.5,0.0171152,6.255
31,800.243,0.0,396.5,0.0171152,6.359999999999999
32,800.259,0.0,396.5,0.0171152,6.54
33,800.275,0.0,396.5,0.0171152,6.075
34,800.2751,0.0,396.5,0.0171152,6.06
35,800.2833,0.0,384.5,0.0171152,6.06
36,800.291,0.0,384.5,0.0171152,6.375
37,800.3072,0.0,384.5,0.0171152,6.24
38,800.3074,0.0,384.5,0.0171152,6.194999999999999
39,800.3201,0.0,400.5,0.0171152,6.194999999999999
40,800.323,0.0,400.5,0.0171152,5.865
41,800.323,0.0,400.5,0.0171152,5.984999999999999
42,800.339,0.0,400.5,0.0171152,6.375
43,800.355,0.0,400.5,0.0171152,6.285
44,800.3551,0.0,400.5,0.0171152,6.375
45,800.3611,0.0,385.5,0.0171152,6.375
46,800.371,0.0,385.5,0.0171152,6.225
