,Force(N),RPM,Volts,Amps
0,34.5,750.0,34.5,13.694977428180573
1,29.299999999999997,450.0,29.299999999999997,10.726596063551213
2,33.4,770.0,33.4,13.01999978795724
3,30.9,470.0,30.9,11.174931676791442
4,28.95000000018325,390.0,28.95000000018325,9.665304878052588
5,10.2,10.0,10.2,2.2801135377835897
6,31.2,810.0,31.2,12.463055555579754
7,34.19916666666667,610.0,34.19916666666667,12.45000000143332
8,22.049999999999997,270.0,22.049999999999997,10.272579462077124
9,34.9423076923077,710.0,34.9423076923077,13.335000000002468
10,18.05,210.0,18.05,6.73499999991657
11,30.25,870.0,30.25,10.817401531620392
12,34.0,590.0,34.0,13.680011720915209
13,12.799999999999999,150.0,12.799999999999999,2.610013985832156
14,34.35,670.0,34.35,13.455536231886116
15,30.25,850.0,30.25,11.896155016672704
16,29.1,410.0,29.1,12.746105769231443
17,34.550000000000004,570.0,34.550000000000004,14.864945390487375
18,26.05,350.0,26.05,10.080016951212402
19,34.3000000000001,650.0,34.3000000000001,16.728299953864536
20,22.55,290.0,22.55,9.404594581690612
21,30.000000004980656,830.0,30.000000004980656,13.16956223328592
22,33.345312500000006,550.0,33.345312500000006,13.455252975665845
23,19.3,230.0,19.3,5.294871219999201
24,33.949999999999996,730.0,33.949999999999996,13.797096772695124
25,31.300000000000004,490.0,31.300000000000004,17.269666651501453
26,34.2,630.0,34.2,16.455629229507686
27,33.4,530.0,33.4,13.800778783206026
28,29.90288461538461,430.0,29.90288461538461,13.424999944593933
29,27.549999999999997,370.0,27.549999999999997,10.749309502752057
30,16.25,190.0,16.25,5.085010884121428
31,24.5,310.0,24.5,10.646819189817913
32,34.5,690.0,34.5,13.785284856117293
33,20.24425287356322,250.0,20.24425287356322,5.3249999292428525
34,33.3,790.0,33.3,12.539999995506221
35,24.85,330.0,24.85,11.799544095251912
36,13.55,170.0,13.55,2.884067822701845
37,31.849999999999998,510.0,31.849999999999998,16.033604651162886
