,Force(N),RPM,Volts,Amps
0,6.1,130.0,6.1,0.02999999999999714
1,0.1,70.0,0.1,-0.060000000000000005
2,6.1,230.0,6.1,0.7799803664921382
3,6.1,170.0,6.1,0.19499988578216373
4,6.1,370.0,6.1,0.8833335470152499
5,6.1000000000000005,290.0,6.1000000000000005,1.7999939637827163
6,6.1000000000000005,110.0,6.1000000000000005,0.2849999559812656
7,6.1,210.0,6.1,0.6299999999929697
8,6.1,430.0,6.1,0.6450007122507038
9,6.1,270.0,6.1,0.9746218473227535
10,6.1,150.0,6.1,0.2999999992660173
11,6.1,410.0,6.1,0.7649949070537305
12,0.05,90.0,0.05,0.5399747048903908
13,0.10000000000000002,10.0,0.10000000000000002,0.32998369565217356
14,6.099999999999999,330.0,6.099999999999999,1.1249310348687562
15,6.1,250.0,6.1,0.10499999585578804
16,6.1000000000000005,190.0,6.1000000000000005,0.41999999412899763
17,6.1,390.0,6.1,0.7800002848868781
